"Index","Execution time"
1,190.639037132
2,206.686182022
3,162.267311096
4,182.299638033
5,132.208449841
6,152.239833117
7,152.239833117
8,205.336503983
9,138.224360943
10,228.340483904
11,181.283348083
12,210.308521986
13,133.201218128
14,166.256262064
15,141.217736006
16,169.246505976
17,136.21162796
18,165.240883112
19,162.25812602
20,245.368939877
21,214.361694813
22,225.341166019
23,150.209060907
24,122.163047075
25,163.273545027
26,172.258702993
27,185.305236101
28,198.405820847
29,130.219812155
30,172.250533819
